VoiceIndexName,,,,,
,,,,,
#ID,BG,Char,Name,Message,VoiceID
1,0,9,？？？,(さぁ……起きて、\nアナタの音楽でこの世界を救いなさい！),
2,0,0,null,いきなり何？\nそもそもあなたは誰？,
3,0,9,？？？,(私の名前はエリック。\nまた後で会いましょう……）,
4,1,0,null,ここはどこ？\nさっきの人は……,
5,1,1,？？？,あっ！　目を覚ました。キミ大丈夫？,
6,1,1,null,ありがとう。\n大丈夫みたいです。,
7,1,1,？？？,キミ、名前なんていうの？,
8,1,1,null,\u,
9,1,1,null,恐る恐る、自分の名前を伝えた。,
10,1,1,フランツ,おぉ、いい名前だね。私の名前はフランツよろしくね。,
11,1,1,user,フランツさん……よろしく。\nそういえば気になっていたのだけどその足は？,
12,1,1,フランツ,この足？\nこれはこの世界に来た時にギヨーム様から貰ったものよ,
13,1,1,user,ギヨーム様？\nギヨーム様？　もしかして、この世界をまとめている偉い人？,
14,1,1,フランツ,えっギヨーム様を知らないの？\nギヨーム様はこのカンタビーレを作り上げた方だよ。,
15,1,1,フランツ,ギヨーム様を知らないってことは……\nジョバンニとパレストリーナも知らないよね…,
16,1,1,???,その二人も知らない、カンタビーレってこの世界の名前？,
17,1,2,フランツ,そうよ、何も知らないの？\nまさか別の世界から迷い込んじゃったとか？,
